ALBANIA	APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	85234912	150 	198 
	APARATOS ELECTROMECANICOS DE USO DOMESTICO	84182100	65 	86 
		84501100	95 	126 
		84512100	25 	33 
		85167900	120 	159 
	ARTICULOS DE VESTUARIO	62033900	255 	337 
		62044900	285 	422 
	AZUCAR	17011400	85,429 	209,669 
	CALZADO	64039190	75 	107 
	HERRAMIENTAS ARTICULOS DE CUCHILLERIA	82060000	495 	654 
	INSTRUMENTAL MEDICO Y OTROS	84433200	60 	79 
	JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES	95030039	120 	178 
		95069900	60 	79 
	MANUFACTURAS DE CERAMICA	69139000	240 	329 
	MANUFACTURAS DE PAPEL Y CARTON	49019900	765 	1,020 
		49119100	150 	198 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84158300	45 	67 
		84713000	90 	129 
		85030000	15 	20 
		85198159	45 	59 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94012090	30 	44 
		94036000	960 	1,324 
	NEUMATICOS Y TUBOS	40114000	45 	59 
	OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES	97019020	300 	410 
	OTRAS MANUFACTURAS DE METALES COMUNES	73239990	730 	1,021 
	ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O	57050000	30 	40 
	VEHICULOS Y MATERIAL DE TRANSPORTE	87032373	11,994 	1,690 
		87120000	45 	59 
		87149990	180 	238 
	VIDRIO Y SUS MANUFACTURAS	70099200	30 	42 
ALEMANIA	ALUMINIO	76071939	280 	37 
		76169990	3,203 	375 
	APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	85219000	390 	346 
		85232911	2 	1 
		85232929	15 	1 
		85232930	216 	2 
		85232940	10 	1 
		85232953	10 	46 
		85232999	10 	1 
		85234911	5 	1 
		85234919	33 	16 
		85235210	7,811 	55 
		85235992	1,548 	3 
		85238092	5,465 	9 
	APARATOS ELECTROMECANICOS DE USO DOMESTICO	73219010	25 	8 
		84198100	45 	15 
		84501100	375 	230 
		84509000	10 	3 
		84512100	75 	134 
		84521000	75 	134 
		85094000	51 	17 
		85098090	120 	38 
		85161000	40 	13 
		85162900	770 	387 
		85166000	80 	26 
		85167100	20 	24 
		85167200	30 	10 
		85167900	195 	312 
		94052000	475 	312 
	APARATOS TRANSMISORES Y RECEPTORES	85176990	1,548 	76 
		85182900	60 	72 
		85183000	15 	1 
		85255090	15 	5 
		85272190	2,003 	28 
	ARMAS Y MUNICIONES	93020000	1,623 	1,588 
	ARTICULOS DE VESTUARIO	61059000	50 	23 
		61081900	20 	7 
		61171000	2,776 	57 
		62033100	2,098 	133 
		62033200	216 	54 
		62033900	380 	566 
		62034200	255 	35 
		62043900	75 	37 
		62044200	109 	26 
		62044900	45 	54 
		62045900	36 	21 
		62046900	42 	25 
		62052000	234 	77 
		62063000	734 	71 
		62092000	83,172 	5,180 
		62102000	440 	177 
		62112000	148 	15 
		62149000	95,369 	6,955 
		62171000	8,162 	897 
		62179000	1,440 	422 
	AZUCAR	17011400	107,900 	203,672 
	AZUCARES Y ARTICULOS DE CONFITERIA	17049000	59 	78 
	BANANO	08039011	4,296,009 	13,393,610 
	BATERIAS ELECTRICAS	85061090	1,344 	157 
		85076000	260 	13 
	BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	22030000	9 	17 
	BULBOS, RAICES Y PLANTAS ORNAMENTALES	06021000	180,863 	12,055 
		12093090	2,027,842 	324 
	CAFE	09011130	30,677,252 	8,711,275 
	CAFE SOLUBLE Y MOLIDO	09012100	3,200 	261 
	CALZADO	63090010	697 	187 
		64019990	10 	46 
		64039190	90 	111 
		64041990	4,680 	135 
		64052000	7,384 	48 
	CARDAMOMO	09083120	2,308,732 	365,681 
		09083220	25,260 	1,530 
	CERAS	34060000	2,514 	558 
	CLAVOS Y TORNILLOS	73181400	63 	7 
		73181500	613 	72 
		73181600	1,137 	133 
		73181900	376 	32 
		73182200	16 	1 
	COBRE Y SUS MANUFACTURAS	74040000	9,775 	64,852 
		74081990	73,741 	74,965 
	DETERGENTES Y JABONES	34022000	465 	23 
	FLORES Y FOLLAJES	06049090	25,640 	5,206 
	FRIJOL	07102200	29,340 	20,299 
	FRUTAS FRESCAS, SECAS O CONGELADAS	08026200	270,918 	35,493 
		08043000	31,500 	5,433 
		08071900	7,011 	5,700 
		08102000	24,515 	13,568 
		08119000	166,504 	134,928 
	HERRAMIENTAS ARTICULOS DE CUCHILLERIA	82013000	3 	1 
		82019090	10 	1 
		82031010	61 	7 
		82032000	76 	10 
		82041100	10,759 	1,259 
		82042000	2,049 	240 
		82052000	170 	20 
		82054000	249 	29 
		82055110	1 	1 
		82055990	15 	9 
		82056000	39 	3 
		82057000	797 	93 
		82060000	1,125 	278 
		82073010	560 	66 
		82074000	954 	112 
		82075000	2,045 	241 
		82079000	109 	13 
		82142000	1,782 	66 
		82152000	10 	1 
	HIERRO Y ACERO	73029000	1,994 	4 
	HILOS E HILAZAS	52042000	6 	6 
		56074900	2,189 	2 
	INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES	38089290	2,605 	133 
	INSTRUMENTAL MEDICO Y OTROS	84433100	40 	24 
		90049010	289 	34 
		90051000	560 	66 
		90153000	672 	79 
		90172000	437 	47 
		90173000	546 	63 
		90181200	11,977 	4 
		90181300	94,594 	507 
		90181900	1,668 	8 
		90183990	48 	16 
		90189000	22,555 	38 
		90192000	1,059 	21 
		90219000	11,481 	27 
		90222100	6,317 	205 
		90229000	50,915 	304 
		90251900	20 	1 
		90262000	235 	16 
		90271000	300 	89 
		90273000	2,990 	8 
		90275000	6,720 	19 
		90278090	432 	28 
		90279090	3,314 	9 
		90301000	22,928 	3 
		90303100	392 	46 
		90303900	2,101 	146 
		90318000	7,910 	170 
		90328900	78 	5 
		90329000	166 	3 
		91052900	25 	8 
		92029010	230 	118 
	JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES	95030021	15,585 	299 
		95030034	385 	84 
		95030039	1,415 	340 
		95030041	7,795 	223 
		95030049	400 	118 
		95030090	180 	59 
		95045000	30 	1 
		95049000	5 	1 
		95059000	153 	17 
		95061900	10 	3 
		95063100	10 	3 
		95066900	3,596 	234 
		95067000	15 	5 
		95069900	130 	74 
	LAMINA Y ALAMBRE	85442000	6 	3 
		85443000	885 	1 
		85444221	262 	1 
	LEGUMBRES Y HORTALIZAS	07081000	3,723 	1,903 
		07102100	435,919 	352,323 
		07108000	32,706 	22,028 
	MANUFACTURAS DE CAUCHO	40091200	36,168 	1,139 
		40169100	6 	1 
		40169300	1,193 	141 
		40169910	100 	4 
	MANUFACTURAS DE CERAMICA	69111000	124 	232 
		69119000	400 	202 
		69120010	191 	127 
		69120090	15 	7 
		69139000	404 	357 
	MANUFACTURAS DE CUERO	42022100	7,672 	85 
		42023100	1,008 	7 
		42033000	2,020 	23 
	MANUFACTURAS DE MADERA	44072900	118,951 	66,728 
		44140000	590 	287 
		44151090	5 	2 
		44201000	100 	47 
		44219090	100 	93 
		94039010	100 	46 
	MANUFACTURAS DE PAPEL Y CARTON	48189010	144,445 	969 
		48191000	14,874 	12,096 
		48203000	21 	9 
		48205000	6 	2 
		48209000	750 	233 
		49019900	2,661 	1,422 
		49029000	34 	74 
		49030000	300 	99 
		49090000	151 	388 
		49111090	590 	249 
		49119100	20 	12 
	MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC	68042200	414 	49 
	MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	71162000	3,594 	307 
		71171900	24 	7 
		71179000	4,365 	33 
	MANUFACTURAS DIVERSAS	42021900	545 	90 
		42022900	20,105 	1,247 
		42023900	367 	60 
		63062200	25 	15 
		63062990	30 	54 
		63079090	1,318 	63 
		68051000	83 	17 
		84849000	1,972 	200 
		85059010	14,185 	527 
		85312000	6,958 	28 
		85364910	19,243 	125 
		85389000	25,393 	174 
		94054090	5 	2 
		96032900	2 	1 
